date,win_team,lose_team
020-11-25,Abilene Chr             ,ETSU                    
020-11-25,Mt St Mary's            ,Morgan St               
020-11-25,Navy                    ,G Washington            
020-11-25,Xavier                  ,Oakland                 
020-11-25,Kennesaw                ,Carver Bib              
020-11-25,W Carolina              ,UNC Wilmington          
020-11-25,Houston                 ,Lamar                   
020-11-25,Alabama                 ,Jacksonville St         
020-11-25,Arkansas                ,MS Valley St            
020-11-25,Bradley                 ,Toledo                  
020-11-25,Butler                  ,W Michigan              
020-11-25,Georgia St              ,Georgia Tech            
020-11-25,Indiana                 ,Tennessee Tech          
020-11-25,Drake                   ,Kansas St               
020-11-25,Marquette               ,Ark Pine Bluff          
020-11-25,Maryland                ,Old Dominion            
020-11-25,Missouri                ,Oral Roberts            
020-11-25,North Carolina          ,Col Charleston          
020-11-25,IL Chicago              ,N Illinois              
020-11-25,Providence              ,Fairfield               
020-11-25,Appalachian St          ,S Carolina St           
020-11-25,TCU                     ,Houston Bap             
020-11-25,Texas                   ,UTRGV                   
020-11-25,Texas Tech              ,Northwestern LA         
020-11-25,UAB                     ,Alcorn St               
020-11-25,USC                     ,Cal Baptist             
020-11-25,Oklahoma St             ,UT Arlington            
020-11-25,Virginia Tech           ,Radford                 
020-11-25,Weber St                ,Adams St                
020-11-25,Wisconsin               ,E Illinois              
020-11-25,Pacific                 ,UC Riverside            
020-11-25,Santa Clara             ,Idaho St                
020-11-25,Kentucky                ,Morehead St             
020-11-25,Purdue                  ,Liberty                 
020-11-25,Villanova               ,Boston College          
020-11-25,FL Gulf Coast           ,Florida A&M             
020-11-25,Clemson                 ,Mississippi St          
020-11-25,Austin Peay             ,NE Omaha                
020-11-25,Memphis                 ,St Mary's CA            
020-11-25,CS Sacramento           ,Bethesda                
020-11-25,Elon                    ,NC Wesleyan             
020-11-25,Connecticut             ,Central Conn            
020-11-25,Davidson                ,High Point              
020-11-25,South Alabama           ,FL Atlantic             
020-11-25,Grand Canyon            ,Grambling               
020-11-25,Missouri KC             ,Culver-Stockton         
020-11-25,Illinois                ,NC A&T                  
020-11-25,PFW                     ,SE Louisiana            
020-11-25,Iowa                    ,NC Central              
020-11-25,Mercer                  ,North Georgia           
020-11-25,Montana St              ,UNLV                    
020-11-25,Texas St                ,M Hardin-Baylor         
020-11-25,Washington St           ,TX Southern             
020-11-25,Wake Forest             ,Delaware St             
020-11-25,Pepperdine              ,UC Irvine               
020-11-25,San Diego St            ,UCLA                    
020-11-25,Loy Marymount           ,Southern Utah           
020-11-25,NC State                ,Charleston So           
020-11-25,CS Northridge           ,Westmont                
020-11-25,S Wesleyan              ,SC Upstate              
020-11-25,Nicholls St             ,UC Davis                
020-11-25,Furman                  ,Tusculum                
020-11-25,Tarleton St             ,Dallas Chr              
020-11-25,Citadel                 ,Piedmont                
020-11-25,Colorado                ,South Dakota            
020-11-25,Michigan St             ,E Michigan              
020-11-25,Louisville              ,Evansville              
020-11-25,Quinnipiac              ,F Dickinson             
020-11-25,Georgetown              ,UMBC                    
020-11-25,Ga Southern             ,Florida National        
020-11-25,TAM C. Christi          ,Texas A&M Intl          
020-11-25,Ohio St                 ,Illinois St             
020-11-25,Ark Little Rock         ,Prairie View            
020-11-25,Miami OH                ,North Dakota            
020-11-25,Michigan                ,Bowling Green           
020-11-25,Minnesota               ,WI Green Bay            
020-11-25,N Kentucky              ,Ball St                 
020-11-25,North Alabama           ,Oakwood                 
020-11-25,WKU                     ,Northern Iowa           
020-11-25,St Francis PA           ,Pittsburgh              
020-11-25,St John's               ,St Peter's              
020-11-25,St Louis                ,SIUE                    
020-11-25,SMU                     ,Sam Houston St          
020-11-25,UTEP                    ,Permian Basin           
020-11-25,VMI                     ,St Andrew's             
020-11-25,Nebraska                ,McNeese St              
020-11-25,South Florida           ,Florida Col             
020-11-25,James Madison           ,Limestone               
020-11-25,New Hampshire           ,Keene St                
020-11-25,Virginia                ,Towson                  
020-11-25,Nevada                  ,N Dakota St             
020-11-25,MA Lowell               ,San Francisco           
020-11-25,E Kentucky              ,North Florida           
020-11-25,Fresno St               ,Wm Jessup               
020-11-25,Wofford                 ,Toccoa Falls            
020-11-25,Ohio                    ,Chicago St              
020-11-25,Jacksonville            ,Coastal GA              
020-11-25,Arizona St              ,Rhode Island            
020-11-25,West Virginia           ,S Dakota St             
020-11-25,BYU                     ,Westminster UT          
020-11-25,VCU                     ,Utah St                 
020-11-25,Oregon St               ,California              
020-11-25,Army                    ,Merchant Marine         
020-11-25,Florida Intl            ,Flagler                 
020-11-25,Rutgers                 ,Sacred Heart            
020-11-25,Chattanooga             ,Lander                  
020-11-25,Seattle                 ,Portland                
020-11-26,Xavier                  ,Bradley                 
020-11-26,Toledo                  ,Oakland                 
020-11-26,St John's               ,La Salle                
020-11-26,Auburn                  ,St Joseph's PA          
020-11-26,Belmont                 ,Howard                  
020-11-26,Gonzaga                 ,Kansas                  
020-11-26,BYU                     ,New Orleans             
020-11-26,Ohio                    ,NC A&T                  
020-11-26,NC Central              ,Southern Univ           
020-11-26,LSU                     ,SIUE                    
020-11-26,North Texas             ,MS Valley St            
020-11-26,NE Omaha                ,MTSU                    
020-11-26,Illinois                ,Chicago St              
020-11-26,Nevada                  ,Nebraska                
020-11-26,Austin Peay             ,ETSU                    
020-11-26,San Francisco           ,Towson                  
020-11-26,WKU                     ,Memphis                 
020-11-26,George Mason            ,Queens NC               
020-11-26,St Mary's CA            ,Northern Iowa           
020-11-26,Liberty                 ,Mississippi St          
020-11-26,Boston College          ,Rhode Island            
020-11-26,Clemson                 ,Purdue                  
020-11-26,Villanova               ,Arizona St              
020-11-26,West Virginia           ,VCU                     
020-11-26,S Dakota St             ,Utah St                 
020-11-26,Utah Valley             ,Adams St                
020-11-26,California              ,Northwest WA            
020-11-27,Xavier                  ,Toledo                  
020-11-27,Troy                    ,W Carolina              
020-11-27,Belmont                 ,George Mason            
020-11-27,UNC Wilmington          ,UNC Asheville           
020-11-27,Mercer                  ,Georgia Tech            
020-11-27,Jacksonville St         ,FL Atlantic             
020-11-27,Norfolk St              ,James Madison           
020-11-27,Louisiana Tech          ,UT Arlington            
020-11-27,Louisville              ,Seton Hall              
020-11-27,Marquette               ,E Illinois              
020-11-27,Bradley                 ,Oakland                 
020-11-27,Texas Tech              ,Sam Houston St          
020-11-27,Nicholls St             ,Idaho St                
020-11-27,Colorado                ,Kansas St               
020-11-27,Richmond                ,Morehead St             
020-11-27,Gonzaga                 ,Auburn                  
020-11-27,Kansas                  ,St Joseph's PA          
020-11-27,Connecticut             ,Hartford                
020-11-27,Georgia St              ,Toccoa Falls            
020-11-27,Iowa                    ,Southern Univ           
020-11-27,South Alabama           ,Mobile                  
020-11-27,Tulane                  ,Lamar                   
020-11-27,Wake Forest             ,Longwood                
020-11-27,San Diego St            ,UC Irvine               
020-11-27,UCLA                    ,Pepperdine              
020-11-27,E Kentucky              ,Charleston So           
020-11-27,Appalachian St          ,Carver Bib              
020-11-27,Santa Clara             ,UC Davis                
020-11-27,Seattle                 ,Wm Jessup               
020-11-27,Drake                   ,South Dakota            
020-11-27,Prairie View            ,Evansville              
020-11-27,Florida Intl            ,Flagler                 
020-11-27,Arizona                 ,Grambling               
020-11-27,Wisconsin               ,Ark Pine Bluff          
020-11-27,Rice                    ,Incarnate Word          
020-11-27,Houston                 ,Boise St                
020-11-27,Illinois                ,Ohio                    
020-11-27,St Peter's              ,La Salle                
020-11-27,Maryland                ,Navy                    
020-11-27,Vanderbilt              ,Valparaiso              
020-11-27,Cal Poly                ,Bethesda                
020-11-27,Oregon St               ,Northwest WA            
020-11-27,Syracuse                ,Bryant                  
020-11-27,UT San Antonio          ,Permian Basin           
020-11-27,Rutgers                 ,F Dickinson             
020-11-27,ETSU                    ,MTSU                    
020-11-27,San Francisco           ,Virginia                
020-11-27,Abilene Chr             ,Austin Peay             
020-11-27,East Carolina           ,Charlotte               
020-11-27,NC A&T                  ,Chicago St              
020-11-27,NC State                ,North Florida           
020-11-27,UNC Greensboro          ,Ark Little Rock         
020-11-27,Buffalo                 ,Towson                  
020-11-27,Queens NC               ,Howard                  
020-11-27,West Virginia           ,WKU                     
020-11-27,Army                    ,Central Conn            
020-11-27,Utah St                 ,Northern Iowa           
020-11-27,Missouri KC             ,Greenville              
020-11-27,St Mary's CA            ,S Dakota St             
020-11-27,VCU                     ,Memphis                 
020-11-27,Marshall                ,Arkansas St             
020-11-28,Col Charleston          ,Limestone               
020-11-28,UNC Wilmington          ,Troy                    
020-11-28,George Mason            ,Howard                  
020-11-28,W Carolina              ,UNC Asheville           
020-11-28,Arkansas                ,North Texas             
020-11-28,BYU                     ,Utah Valley             
020-11-28,Duke                    ,Coppin St               
020-11-28,Kennesaw                ,Toccoa Falls            
020-11-28,Michigan St             ,Notre Dame              
020-11-28,Navy                    ,Mt St Mary's            
020-11-28,Old Dominion            ,William & Mary          
020-11-28,Norfolk St              ,Radford                 
020-11-28,Rhode Island            ,South Florida           
020-11-28,Texas St                ,TAM C. Christi          
020-11-28,UAB                     ,SE Louisiana            
020-11-28,UC Davis                ,Idaho St                
020-11-28,UTRGV                   ,UT San Antonio          
020-11-28,Wofford                 ,Carver Bib              
020-11-28,TCU                     ,Tulsa                   
020-11-28,Elon                    ,High Point              
020-11-28,Coastal Car             ,NC Wesleyan             
020-11-28,UT Arlington            ,Northwestern LA         
020-11-28,Furman                  ,SC Upstate              
020-11-28,Air Force               ,CS Northridge           
020-11-28,Denver                  ,Regis CO                
020-11-28,Pittsburgh              ,Drexel                  
020-11-28,Washington St           ,E Washington            
020-11-28,FL Atlantic             ,Mobile                  
020-11-28,Ga Southern             ,Coastal GA              
020-11-28,Lipscomb                ,Lamar                   
020-11-28,Oral Roberts            ,Rogers St               
020-11-28,Liberty                 ,South Carolina          
020-11-28,UMBC                    ,St Francis PA           
020-11-28,Wyoming                 ,MS Valley St            
020-11-28,Santa Clara             ,Nicholls St             
020-11-28,Oklahoma St             ,TX Southern             
020-11-28,Penn St                 ,VMI                     
020-11-28,Rice                    ,Our Lady Lake           
020-11-28,Southern Utah           ,St Katherine            
020-11-28,Illinois St             ,MA Lowell               
020-11-28,Minnesota               ,Loy Marymount           
020-11-28,Nebraska                ,N Dakota St             
020-11-28,Bowling Green           ,S Carolina St           
020-11-28,St Louis                ,LSU                     
020-11-28,Army                    ,Buffalo                 
020-11-28,Abilene Chr             ,NE Omaha                
020-11-28,Belmont                 ,Queens NC               
020-11-28,Jacksonville            ,Southern Miss           
020-11-28,SIUE                    ,St Louis Pharm          
020-11-28,Portland                ,Wm Jessup               
020-11-28,USC                     ,Montana                 
020-11-28,IL Chicago              ,C Michigan              
020-11-28,Baylor                  ,Louisiana               
020-11-28,Grand Canyon            ,Benedictine AZ          
020-11-28,Virginia Tech           ,Villanova               
020-11-28,SE Missouri St          ,Missouri KC             
020-11-28,UC Irvine               ,Bethesda                
020-11-29,Richmond                ,Kentucky                
020-11-29,Iowa St                 ,Ark Pine Bluff          
020-11-29,James Madison           ,Radford                 
020-11-29,Louisiana Tech          ,Northwestern LA         
020-11-29,Louisville              ,Prairie View            
020-11-29,Maryland                ,Mt St Mary's            
020-11-29,Jacksonville St         ,South Alabama           
020-11-29,Virginia Tech           ,South Florida           
020-11-29,Houston                 ,Texas Tech              
020-11-29,Miami FL                ,North Florida           
020-11-29,Boise St                ,Sam Houston St          
020-11-29,Seattle                 ,Air Force               
020-11-29,UC Santa Barbara        ,St Katherine            
020-11-29,Incarnate Word          ,Our Lady Lake           
020-11-29,Rutgers                 ,Hofstra                 
020-11-29,Tulane                  ,Lipscomb                
020-11-29,Ohio St                 ,MA Lowell               
020-11-29,Michigan                ,Oakland                 
020-11-29,Texas A&M               ,New Orleans             
020-11-29,Georgia                 ,Florida A&M             
020-11-29,Rhode Island            ,San Francisco           
020-11-29,Alabama A&M             ,Samford                 
020-11-29,Portland                ,Northwest WA            
020-11-29,Arizona St              ,Houston Bap             
020-11-29,Creighton               ,N Dakota St             
020-11-29,Baylor                  ,Washington              
020-11-29,Morehead St             ,Arkansas St             
020-11-29,Murray St               ,Greenville              
020-11-29,New Mexico St           ,Arizona Chr             
020-11-29,South Carolina          ,Tulsa                   
020-11-29,TCU                     ,Liberty                 
020-11-30,Texas                   ,Davidson                
020-11-30,Indiana                 ,Providence              
020-11-30,Bowling Green           ,Appalachian St          
020-11-30,St John's               ,Boston College          
020-11-30,Jacksonville St         ,Mobile                  
020-11-30,Mercer                  ,Georgia St              
020-11-30,Mississippi St          ,Texas St                
020-11-30,Chattanooga             ,Tennessee Tech          
020-11-30,Xavier                  ,E Kentucky              
020-11-30,North Carolina          ,UNLV                    
020-11-30,Kansas St               ,Missouri KC             
020-11-30,Stanford                ,Alabama                 
020-11-30,Nevada                  ,Pacific                 
020-11-30,CS Northridge           ,Seattle                 
020-11-30,California              ,Nicholls St             
020-11-30,Ark Little Rock         ,Duquesne                
020-11-30,SMU                     ,TAM C. Christi          
020-11-30,TX Southern             ,Wyoming                 
020-11-30,W Carolina              ,Piedmont                
020-11-30,UCF                     ,Auburn                  
020-11-30,Minnesota               ,Loy Marymount           
020-11-30,LSU                     ,SE Louisiana            
020-11-30,Campbell                ,St Andrew's             
020-11-30,Seton Hall              ,Iona                    
020-11-30,Hofstra                 ,F Dickinson             
020-11-30,Emmanuel GA             ,Stetson                 
020-12-01,Kansas                  ,Kentucky                
020-12-01,Louisville              ,WKU                     
020-12-01,Oklahoma St             ,Marquette               
020-12-01,Michigan St             ,Duke                    
020-12-01,Toledo                  ,Cleveland St            
020-12-01,Morgan St               ,Lincoln PA              
020-12-01,Bradley                 ,Judson IL               
020-12-01,Creighton               ,NE Omaha                
020-12-01,USC                     ,BYU                     
020-12-01,Abilene Chr             ,Howard Payne            
020-12-01,Grand Canyon            ,MS Valley St            
020-12-01,NC A&T                  ,Charleston So           
020-12-01,Virginia                ,St Francis PA           
020-12-01,Florida Intl            ,C Michigan              
020-12-01,Hampton                 ,G Washington            
020-12-01,Navy                    ,Georgetown              
020-12-01,Purdue                  ,Oakland                 
020-12-01,Nebraska                ,South Dakota            
020-12-01,Wisconsin               ,WI Green Bay            
020-12-01,St Mary's CA            ,Nicholls St             
020-12-01,IL Chicago              ,Valparaiso              
020-12-01,Villanova               ,Hartford                
020-12-01,VMI                     ,Longwood                
020-12-01,Texas                   ,Indiana                 
020-12-01,North Carolina          ,Stanford                
020-12-01,UC Riverside            ,Washington              
020-12-01,Bryant                  ,New Hampshire           
020-12-01,East Carolina           ,NC Wesleyan             
020-12-01,St Peter's              ,Stony Brook             
020-12-01,Providence              ,Davidson                
020-12-01,Dayton                  ,E Illinois              
020-12-01,SF Austin               ,Le Tourneau             
020-12-01,Alabama                 ,UNLV                    
020-12-01,Winthrop                ,UNC Greensboro          
020-12-01,New Mexico St           ,Benedictine AZ          
020-12-01,Samford                 ,Covenant                
020-12-01,South Alabama           ,Emmanuel GA             
020-12-02,Arkansas                ,UT Arlington            
020-12-02,S Dakota St             ,Iowa St                 
020-12-02,Memphis                 ,Arkansas St             
020-12-02,MTSU                    ,Murray St               
020-12-02,Old Dominion            ,Norfolk St              
020-12-02,SIUE                    ,N Illinois              
020-12-02,Ohio St                 ,Morehead St             
020-12-02,Rhode Island            ,Seton Hall              
020-12-02,S Illinois              ,SE Missouri St          
020-12-02,Texas A&M               ,Tarleton St             
020-12-02,UAB                     ,Kennesaw                
020-12-02,UTRGV                   ,TAM C. Christi          
020-12-02,Washington St           ,Oregon St               
020-12-02,Wichita St              ,Oral Roberts            
020-12-02,Xavier                  ,Tennessee Tech          
020-12-02,Pacific                 ,Montana St              
020-12-02,E Kentucky              ,SC Upstate              
020-12-02,Clemson                 ,S Carolina St           
020-12-02,TN Martin               ,Evansville              
020-12-02,Florida St              ,North Florida           
020-12-02,Southern Miss           ,Wm Carey                
020-12-02,Furman                  ,S Wesleyan              
020-12-02,Cincinnati              ,Lipscomb                
020-12-02,Duquesne                ,UNC Greensboro          
020-12-02,Hartford                ,Fairfield               
020-12-02,Northwestern            ,Ark Pine Bluff          
020-12-02,SMU                     ,Houston Bap             
020-12-02,Utah Valley             ,Westminster UT          
020-12-02,Baylor                  ,Illinois                
020-12-02,Michigan                ,Ball St                 
020-12-02,Wyoming                 ,Incarnate Word          
020-12-02,San Francisco           ,Nevada                  
020-12-02,Penn St                 ,VCU                     
020-12-02,Drexel                  ,Quinnipiac              
020-12-02,Jacksonville            ,Presbyterian            
020-12-02,Gonzaga                 ,West Virginia           
020-12-02,McNeese St              ,Dallas Chr              
020-12-02,Louisiana               ,New Orleans             
020-12-02,Dixie St                ,North Dakota            
020-12-02,SE Louisiana            ,Cal Baptist             
020-12-02,San Diego St            ,St Katherine            
020-12-02,Santa Clara             ,CS Bakersfield          
020-12-02,Florida                 ,Army                    
020-12-02,South Florida           ,FL Gulf Coast           
020-12-02,BYU                     ,St John's               
020-12-02,Illinois St             ,Greenville              
020-12-02,Missouri                ,Oregon                  
020-12-02,Indiana                 ,Stanford                
020-12-02,Texas                   ,North Carolina          
020-12-02,Alabama                 ,Providence              
020-12-02,UC Irvine               ,La Sierra               
020-12-02,Davidson                ,UNLV                    
020-12-02,Georgia                 ,North Georgia           
020-12-02,Flagler                 ,C Michigan              
020-12-02,Kent                    ,Point Park              
020-12-03,Arizona St              ,California              
020-12-03,Louisiana Tech          ,ULM                     
020-12-03,N Kentucky              ,Tennessee Tech          
020-12-03,UCLA                    ,Seattle                 
020-12-03,Utah                    ,Washington              
020-12-03,E Illinois              ,Chicago St              
020-12-03,TCU                     ,Northwestern LA         
020-12-03,Citadel                 ,NC A&T                  
020-12-03,Grambling               ,E Texas Bap             
020-12-03,Iowa                    ,W Illinois              
020-12-03,Liberty                 ,St Francis PA           
020-12-03,Southern Utah           ,Montana                 
020-12-03,CS Sacramento           ,Idaho                   
020-12-03,Drake                   ,NE Omaha                
020-12-03,FL Atlantic             ,Florida National        
020-12-03,Kansas                  ,Washburn                
020-12-03,Rice                    ,Le Tourneau             
020-12-03,Virginia Tech           ,VMI                     
020-12-03,Syracuse                ,Niagara                 
020-12-03,St Mary's CA            ,TX Southern             
020-12-03,Coastal Car             ,Columbia Intl           
020-12-03,Connecticut             ,USC                     
020-12-03,Florida                 ,Boston College          
020-12-03,NC State                ,MA Lowell               
020-12-03,Bowling Green           ,Purdue Northwest        
020-12-03,Oklahoma                ,UT San Antonio          
020-12-03,Pepperdine              ,St Katherine            
020-12-03,Drexel                  ,Quinnipiac              
020-12-03,Winthrop                ,Ark Little Rock         
020-12-03,Marshall                ,Wright St               
020-12-03,W Carolina              ,Newberry                
020-12-03,UC Santa Barbara        ,Bethesda                
020-12-04,Creighton               ,Kennesaw                
020-12-04,Duke                    ,Bellarmine              
020-12-04,Toledo                  ,E Michigan              
020-12-04,Marquette               ,Wisconsin               
020-12-04,Mississippi St          ,North Texas             
020-12-04,Purdue                  ,Valparaiso              
020-12-04,Tulsa                   ,UT Arlington            
020-12-04,Cal Baptist             ,SE Louisiana            
020-12-04,UTRGV                   ,Our Lady Lake           
020-12-04,Arkansas St             ,Crowley's Ridge         
020-12-04,Auburn                  ,South Alabama           
020-12-04,Loy Marymount           ,Long Beach St           
020-12-04,Sam Houston St          ,Dallas Chr              
020-12-04,Michigan St             ,Detroit                 
020-12-04,Georgia                 ,Jacksonville            
020-12-04,Miami FL                ,Stetson                 
020-12-04,Georgia St              ,Charlotte               
020-12-04,Florida Intl            ,Jacksonville St         
020-12-04,UT San Antonio          ,Sul Ross                
020-12-04,Minnesota               ,North Dakota            
020-12-04,Stony Brook             ,Fairfield               
020-12-04,Memphis                 ,Cent Arkansas           
020-12-04,Northern Iowa           ,St Ambrose              
020-12-04,Oregon                  ,Seton Hall              
020-12-04,Hartford                ,Central Conn            
020-12-04,Austin Peay             ,Carver Bib              
020-12-04,SF Austin               ,McNeese St              
020-12-04,S Dakota St             ,Bradley                 
020-12-04,UC Davis                ,Wm Jessup               
020-12-04,Texas Tech              ,Troy                    
020-12-04,Maryland                ,St Peter's              
020-12-04,Virginia                ,Kent                    
020-12-04,San Francisco           ,Cal Poly                
020-12-04,Boise St                ,Col of Idaho            
020-12-05,CS Sacramento           ,Idaho                   
020-12-05,Southern Utah           ,Montana                 
020-12-05,Texas St                ,Incarnate Word          
020-12-05,UNC Asheville           ,S Carolina St           
020-12-05,Air Force               ,Lamar                   
020-12-05,Arkansas                ,Lipscomb                
020-12-05,Samford                 ,Belmont                 
020-12-05,East Carolina           ,Radford                 
020-12-05,Kansas                  ,N Dakota St             
020-12-05,UNLV                    ,Kansas St               
020-12-05,Northwestern            ,Chicago St              
020-12-05,Oklahoma St             ,Oakland                 
020-12-05,Providence              ,F Dickinson             
020-12-05,E Illinois              ,WI Green Bay            
020-12-05,NE Omaha                ,SIUE                    
020-12-05,SMU                     ,Dayton                  
020-12-05,High Point              ,North Florida           
020-12-05,Abilene Chr             ,Tarleton St             
020-12-05,Dixie St                ,St Katherine            
020-12-05,Wright St               ,Miami OH                
020-12-05,Liberty                 ,Bluefield VA            
020-12-05,VCU                     ,Mt St Mary's            
020-12-05,Citadel                 ,Toccoa Falls            
020-12-05,Iona                    ,Hofstra                 
020-12-05,Rice                    ,Houston Bap             
020-12-05,Houston                 ,South Carolina          
020-12-05,Ball St                 ,IL Chicago              
020-12-05,Marist                  ,Binghamton              
020-12-05,BYU                     ,Utah St                 
020-12-05,St Louis                ,Ark Pine Bluff          
020-12-05,FL Gulf Coast           ,Florida National        
020-12-05,Syracuse                ,Rider                   
020-12-05,Portland                ,Portland St             
020-12-05,Pittsburgh              ,N Illinois              
020-12-05,UTEP                    ,Sul Ross                
020-12-05,Arizona                 ,E Washington            
020-12-05,Ga Southern             ,SC Upstate              
020-12-05,G Washington            ,Coppin St               
020-12-05,Chattanooga             ,N Kentucky              
020-12-05,Mercer                  ,Columbia Intl           
020-12-05,Furman                  ,Col Charleston          
020-12-05,Robert Morris           ,Point Park              
020-12-05,Murray St               ,Illinois St             
020-12-05,Delaware                ,Salem WV                
020-12-05,Loyola-Chicago          ,Lewis                   
020-12-05,Louisiana               ,LSU Shreveport          
020-12-05,Bryant                  ,RI College              
020-12-06,Villanova               ,Texas                   
020-12-06,Ark Little Rock         ,Cent Arkansas           
020-12-06,Bowling Green           ,Buffalo                 
020-12-06,Xavier                  ,Cincinnati              
020-12-06,Drexel                  ,Coppin St               
020-12-06,West Virginia           ,Georgetown              
020-12-06,Georgia Tech            ,Kentucky                
020-12-06,Long Beach St           ,Seattle                 
020-12-06,LSU                     ,Louisiana Tech          
020-12-06,Oklahoma                ,TCU                     
020-12-06,Texas A&M               ,UTRGV                   
020-12-06,Texas Tech              ,Grambling               
020-12-06,UAB                     ,Troy                    
020-12-06,UCLA                    ,California              
020-12-06,W Carolina              ,Tennessee Tech          
020-12-06,Missouri                ,Wichita St              
020-12-06,Florida                 ,Stetson                 
020-12-06,North Alabama           ,Carver Bib              
020-12-06,Seton Hall              ,Penn St                 
020-12-06,UC Riverside            ,Denver                  
020-12-06,Michigan                ,UCF                     
020-12-06,Bellarmine              ,Howard                  
020-12-06,Michigan St             ,W Michigan              
020-12-06,Drake                   ,St Ambrose              
020-12-06,Valparaiso              ,Judson IL               
020-12-06,Ohio                    ,Cleveland St            
020-12-06,ULM                     ,Northwestern LA         
020-12-06,Wyoming                 ,Oregon St               
020-12-06,Appalachian St          ,NC Wesleyan             
020-12-06,Marist                  ,Binghamton              
020-12-06,C Michigan              ,W Illinois              
020-12-06,Quinnipiac              ,New Hampshire           
020-12-06,St John's               ,Stony Brook             
020-12-06,San Diego St            ,Pepperdine              
020-12-06,Sam Houston St          ,Howard Payne            
020-12-06,S Illinois              ,Quincy                  
020-12-06,Army                    ,La Salle                
020-12-06,WKU                     ,MS Valley St            
020-12-06,Notre Dame              ,Detroit                 
020-12-06,Mercer                  ,S Wesleyan              
020-12-06,Greensboro              ,Longwood                
020-12-06,SF Austin               ,LSU-Alexandria          
020-12-06,Stanford                ,NC A&T                  
020-12-07,E Kentucky              ,Morehead St             
020-12-07,SE Missouri St          ,Lipscomb                
020-12-07,East Carolina           ,UNC Wilmington          
020-12-07,Norfolk St              ,Hampton                 
020-12-07,FL Atlantic             ,North Florida           
020-12-07,Citadel                 ,Columbia Intl           
020-12-07,Coastal Car             ,NC Central              
020-12-07,Charlotte               ,S Carolina St           
020-12-07,Hartford                ,Fairfield               
020-12-07,CS Bakersfield          ,Bethesda                
020-12-07,Arizona                 ,Northern Arizona        
020-12-07,Chattanooga             ,MTSU                    
020-12-07,UC Santa Barbara        ,Loy Marymount           
020-12-07,W Michigan              ,Adrian                  
020-12-07,Bradley                 ,Lewis                   
020-12-07,UMBC                    ,G Washington            
020-12-07,Richmond                ,Wofford                 
020-12-07,Oregon                  ,E Washington            
020-12-07,Nevada                  ,Wm Jessup               
020-12-08,Illinois                ,Duke                    
020-12-08,Georgetown              ,Coppin St               
020-12-08,Iowa                    ,North Carolina          
020-12-08,Kansas                  ,Creighton               
020-12-08,Marquette               ,WI Green Bay            
020-12-08,Miami FL                ,Purdue                  
020-12-08,Minnesota               ,Boston College          
020-12-08,Mississippi St          ,Jackson St              
020-12-08,Murray St               ,Austin Peay             
020-12-08,Ohio St                 ,Notre Dame              
020-12-08,Rutgers                 ,Syracuse                
020-12-08,St Mary's CA            ,UTEP                    
020-12-08,Penn St                 ,Virginia Tech           
020-12-08,Utah                    ,Idaho St                
020-12-08,Mt St Mary's            ,St Francis PA           
020-12-08,Oklahoma St             ,Oral Roberts            
020-12-08,Seton Hall              ,Wagner                  
020-12-08,South Alabama           ,Wm Carey                
020-12-08,Louisiana               ,LSU-Alexandria          
020-12-08,South Florida           ,Stetson                 
020-12-08,St Louis                ,Cent Arkansas           
020-12-08,Campbell                ,Jacksonville            
020-12-08,Central Conn            ,F Dickinson             
020-12-08,Georgia                 ,Montana                 
020-12-08,Memphis                 ,MS Valley St            
020-12-08,Bryant                  ,St Francis NY           
020-12-08,Longwood                ,NC A&T                  
020-12-08,New Orleans             ,Florida National        
020-12-08,Belmont                 ,Tennessee St            
020-12-08,USC                     ,UC Irvine               
020-12-08,Portland St             ,Northwest WA            
020-12-08,Indiana St              ,Truman St               
020-12-08,St John's               ,Rider                   
020-12-08,Kent                    ,Detroit                 
020-12-08,Morgan St               ,Iona                    
020-12-08,Ball St                 ,N Illinois              
020-12-08,Tennessee               ,Colorado                
020-12-08,Dayton                  ,N Kentucky              
020-12-08,VMI                     ,Greensboro              
020-12-08,Fort Hays St            ,Kansas St               
020-12-08,Charleston So           ,Carver Bib              
020-12-08,Weber St                ,Westminster UT          
020-12-08,UMBC                    ,Delaware                
020-12-08,La Salle                ,Lincoln PA              
020-12-08,Utah St                 ,Col of Idaho            
020-12-09,Chattanooga             ,Bellarmine              
020-12-09,Marshall                ,Col Charleston          
020-12-09,Clemson                 ,Maryland                
020-12-09,Evansville              ,E Illinois              
020-12-09,Florida St              ,Indiana                 
020-12-09,Hofstra                 ,Stony Brook             
020-12-09,Lamar                   ,ULM                     
020-12-09,Louisiana Tech          ,SE Louisiana            
020-12-09,Loyola-Chicago          ,Chicago St              
020-12-09,Missouri                ,Liberty                 
020-12-09,Georgia Tech            ,Nebraska                
020-12-09,Pittsburgh              ,Northwestern            
020-12-09,Texas Tech              ,Abilene Chr             
020-12-09,Valparaiso              ,SIUE                    
020-12-09,Washington              ,Seattle                 
020-12-09,Xavier                  ,Oklahoma                
020-12-09,Providence              ,TCU                     
020-12-09,Ark Pine Bluff          ,Arkansas St             
020-12-09,Cincinnati              ,Furman                  
020-12-09,Washington St           ,Idaho                   
020-12-09,Tulane                  ,Southern Miss           
020-12-09,Texas                   ,Texas St                
020-12-09,Morehead St             ,Transylvania            
020-12-09,Richmond                ,Northern Iowa           
